Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Total_ratings,Total_reviews
WHIRLPOOL ,5,Top Load,740,Automatic,10,16940,21350,20,4.2,8195,726
SAMSUNG ,11,Top Load,700,Automatic,20,38952,48500,19,4.3,54,4
HAIER ,10,Top Load,1300,Semi Automatic,5,16472,18400,10,4.4,72,9
VOLTAS ,7,Top Load,1350,Semi Automatic,7,9900,12990,23,3.5,4,0
INTEX ,5,Top Load,700,Automatic,5,9990,25999,61,4.2,1833,316
VOLTAS ,8,Top Load,1450,Semi Automatic,7,13999,19990,29,4.3,10,1
THOMSON ,5,Top Load,1600,Semi Automatic,5,8999,11999,25,3.9,511,62
DMR ,6,Top Load,240,Automatic,7,5699,7999,28,3.6,81,4
KHAITAN ,2,Top Load,1300,Semi Automatic,2,15899,24990,36,4.2,8195,726
SAMSUNG ,5,Top Load,1350,Semi Automatic,7,16490,18400,10,4.4,799,52
